User,Team #,Rookie Year,Likes Recieved,Likes Given,Topics,Replies,Viewed,Read,Visits,Elo
Landen_Kim,6829,2017,4,538,0,6,1651,30988,329,1639
s-neff,841,2009,868,2113,4,490,2241,46832,329,1501
Paul_Copioli,3310,2000,524,7,1,53,744,17642,328,1762
KrazyCarl92,20,2010,67,138,0,14,1474,24023,328,1811
GoalkeeperBoss,4935,2018,1367,1555,8,2129,3873,93467,328,1508
yu.liu2,None,None,32,51,2,56,2244,26258,328,
ASmith1675,1675,2005,100,177,3,47,2074,33690,328,1503
Delr_n,,2017,219,40,4,92,2551,32963,328,
Tecrunners,7433,2019,0,5,0,1,1418,18961,327,1585
msoucy,166,2007,26,108,1,19,1669,12317,327,1568
tjwolter,5826,,247,11,3,127,842,10802,327,1498
RSimpson,7457,2015,218,175,3,69,2083,27586,327,1685
Mikeyl1836,1836,2018,51,25,3,35,1734,29301,327,1705
Fusion_Clint,364,2013,388,117,7,88,1473,25985,326,1860
LDiDomenico,2512,2012,0,90,0,0,1107,18287,326,1534
IrwinTan,1310,,0,0,0,0,1571,24741,326,1701
Clint_Ott,1619,2009,90,101,0,18,1267,22945,326,1833
heatblast016,7461,2016,546,61,5,192,1440,26840,326,1473
Jbkerns,614,2007,1,24,0,2,1769,26202,325,1661
maxxman,0,2013,2,11,0,5,1338,25627,325,
FrankJ,2974,2009,607,29,2,381,1359,23515,325,1759
Animesh,,2017,211,186,4,28,1025,14714,325,
johansu,4911,2017,0,1,0,0,1528,25281,325,1788
Jsteel,2811,,61,6,2,32,650,13935,325,1565
ProPain37,3019,2017,633,82,43,521,3857,59907,324,1574
rj9,5338,2017,0,31,1,4,1673,19516,324,1631
paulonis,4020,2013,181,22,2,114,2253,34465,324,1673
Matt_Boehm_329,329,2005,481,193,6,161,2279,41248,324,1650
Fields,4549,2015,627,344,17,313,1778,30435,324,1461
YuanyangL,1727,2018,0,0,0,0,181,2547,324,1610
forbes,,2012,31,23,0,28,1249,18381,323,
Kevin_Sheridan,254,2003,84,26,0,4,1295,26569,323,1869
BrianAtlanta,6829,2012,45,3,0,25,1012,14021,323,1639
JB1,REV Robotics,2008,33,40,0,7,825,17590,323,
J_Stofflett,123,1997,14,0,0,4,1050,11701,323,1548
jnicho15,548,2014,133,322,4,71,1318,20532,323,1692
Gregory78,78,2007,7,19,1,8,2603,38153,323,1841
