team,lat,lng
2640,36.343,-79.664
2641,40.444,-79.955
2642,35.619,-77.397
2643,37.246,-121.831
2647,33.51,-112.056
2648,44.517,-69.74
2654,48.705,-95.75
2655,36.078,-79.909
2656,40.429,-79.762
2657,32.232,-107.747
2658,33.007,-117.069
2659,34.262,-118.459
2662,33.435,-112.277
2667,44.75,-93.203
2673,42.347,-83.06
2676,42.252,-83.149
2679,31.769,35.216
2682,35.534,-77.391
2702,43.458,-80.482
2704,41.848,-88.31
2706,45.256,-76.275
2707,38.678,-90.303
2708,44.295,-76.428
2709,41.82,-87.613
2710,33.752,-118.367
2713,42.458,-71.063
2721,26.465,-97.911
2723,35.426,-97.526
2725,41.88,-87.687
2729,39.885,-74.907
2733,45.484,-122.636
2765,35.233,-97.407
2767,42.281,-85.686
2771,42.894,-85.762
2773,35.621,-97.473
2783,38.403,-85.393
2785,41.732,-73.458
2789,30.339,-97.532
2791,42.746,-73.763
2795,35.991,-95.814
2797,28.552,-81.757
2805,32.381,-96.837
2811,45.716,-122.69
2813,37.271,-122.023
2815,33.99,-81
2819,38.811,-76.99
2823,44.914,-93.173
2825,45.08,-93.088
2826,44.022,-88.544
2827,32.681,-117.17
2830,43.082,-87.889
2832,42.396,-83.377
2834,42.585,-83.282
2836,41.552,-73.208
2839,33.139,-117.052
2840,33.549,-111.957
2844,33.344,-112.172
2846,45.014,-93.157
2847,43.638,-94.451
2848,32.932,-96.835
2849,39.17,-76.854
2851,42.612,-83.034
2852,43.131,-79.232
2853,21.453,-158.017
2854,37.33,-121.791
2855,44.999,-93.097
2856,38.014,-84.582
2861,44.431,-92.284
2867,41.676,-85.962
2869,40.74,-73.486
2872,40.788,-73.588
2874,39.027,-94.209
2875,40.86,-73.442
2876,42.509,-71.2
2877,42.334,-71.183
2879,44.955,-93.383
2881,30.365,-97.683
2882,29.832,-95.736
2883,48.911,-95.354
2890,36.643,-76.242
2895,40.601,-73.758
2896,21.329,-157.862
2897,31.577,-97.124
2898,45.52,-122.86
2900,38.901,-77.05
2903,48.183,-122.112
2905,41.134,29.046
2906,47.073,-122.394
2907,47.288,-122.098
2910,47.86,-122.204
2912,38.902,-76.99
2914,38.938,-77.086
2915,45.458,-122.707
2916,27.982,-80.689
2926,46.451,-120.427
2927,47.025,-122.294
2928,47.687,-122.377
2929,47.142,-122.265
2930,47.858,-122.092
2935,43.743,-79.588
2942,47.499,-122.36
2944,47.65,-117.43
2945,38.855,-104.906
2950,31.535,-97.19
2957,43.647,-93.582
2959,42.203,-86.323
2960,42.544,-83.213
2961,38.912,-77.018
2964,38.86,-76.974
2966,26.177,-98.187
2969,29.411,-98.413
2972,39.998,-105.096
2973,34.711,-86.743
2974,34.002,-84.463
2976,47.586,-122.034
2977,43.831,-91.326
2978,38.586,-90.293
2980,48.315,-122.637
2984,32.846,-117.252
2986,35.487,-97.574
2987,44.663,-93.154
2988,39.153,-77.969
2989,44.876,-93.255
2990,44.848,-122.95
2992,30.421,-90.059
2993,41.776,-111.807
2994,45.37,-75.92
2996,38.853,-104.859
2998,37.592,-77.495
3000,38.177,-85.522
3003,42.869,-77.285
3004,40.88,-73.907
3005,32.876,-96.749
3006,40.778,-111.875
3007,44.991,-92.949
3008,21.293,-157.755
3009,35.973,-114.834
3010,40.286,-82.68
3011,50.042,8.329
3013,38.105,-122.247
3015,43.19,-77.804
3017,40.737,-73.795
3018,44.335,-93.981
3019,33.549,-111.957
3021,33.11,-117.07
3023,45.314,-93.581
3024,42.188,-122.693
3026,45.034,-93.802
3028,26.103,-98.254
3029,26.177,-98.187
3034,33.172,35.607
3035,27.768,-97.401
3036,47.383,-93.85
3037,32.555,-94.777
3038,45.511,-92.98
3039,29.964,-90.368
3042,44.75,-93.203
3043,31.838,-106.536
3044,43.005,-73.849
3045,37.539,-122.3
3049,47.569,-122.637
3054,47.776,-90.339
3055,43.669,-92.978
3058,45.248,-94.106
3061,41.789,-88.169
3062,40.642,-79.727
3065,32.411,35.021
3067,41.886,-88.311
3070,47.738,-122.343
3072,36.941,-81.094
3075,32.146,34.892
3081,44.836,-93.278
3082,44.914,-93.485
3083,32.541,34.913
3090,44.03,-91.701
3091,33.747,-84.378
3096,42.41,-82.944
3098,42.688,-83.388
3100,44.897,-93.103
3102,46.932,-94.846
3103,29.77,-95.52
3104,41.089,-73.543
3110,41.991,-87.663
3117,45.4,-71.899
3120,34.153,-118.432
3122,44.304,-94.464
3128,32.956,-117.225
3130,44.898,-92.923
3131,45.39,-122.59
3132,-33.772,151.114
3133,33.467,-111.915
3134,47.352,-94.612
3136,37.739,-77.478
3137,40.768,-73.116
3138,39.828,-84.202
3139,33.581,-85.833
3140,35.876,-84.175
3142,41.069,-74.807
3145,47.693,-116.785
3146,41.96,-72.799
3147,41.554,-87.501
3151,39.747,-75.09
3152,33.885,-94.802
3157,43.214,-77.555
3158,19.424,-99.663
3160,36.593,-94.757
3161,43.488,-79.71
3163,35.462,-96.012
3164,28.009,-82.503
3166,40.593,-111.831
3171,40.83,-72.647
3172,38.824,-97.642
3173,43.112,-77.562
3175,42.427,-82.9
3176,39.847,-86.387
3179,36.411,-95.273
3180,39.37,-86.184
3181,43.069,-77.514
3182,41.756,-72.753
3184,44.761,-93.275
3187,33.496,-111.988
3189,38.719,-120.805
3193,41.098,-80.76
3196,35.577,-80.823
