TeamLat,TeamLng,EventLat,EventLng
-117.17,32.681,-117.2583568,32.9752398,0
-117.052,33.139,-117.2583568,32.9752398,0
-158.017,21.453,-117.2583568,32.9752398,0
-117.252,32.846,-117.2583568,32.9752398,0
-117.07,33.11,-117.2583568,32.9752398,0
-117.225,32.956,-117.2583568,32.9752398,0
-111.831,40.593,-117.2583568,32.9752398,0
-117.07,33.11,-117.2583568,32.9752398,0
-117.121,32.965,-117.2583568,32.9752398,0
-117.225,32.956,-117.2583568,32.9752398,0
-117.09,32.675,-117.2583568,32.9752398,0
-117.086,33.028,-117.2583568,32.9752398,0
-116.986,32.849,-117.2583568,32.9752398,0
-117.185,33.119,-117.2583568,32.9752398,0
-117.09,32.912,-117.2583568,32.9752398,0
-117.24,32.797,-117.2583568,32.9752398,0
5.478,51.441,-117.2583568,32.9752398,0
-117.248,33.198,-117.2583568,32.9752398,0
-117.159,32.718,-117.2583568,32.9752398,0
-111.885,40.615,-117.2583568,32.9752398,0
-117.071,32.575,-117.2583568,32.9752398,0
-117.026,32.804,-117.2583568,32.9752398,0
-117.033,32.733,-117.2583568,32.9752398,0
-112.178,33.624,-117.2583568,32.9752398,0
-117.096,33.498,-117.2583568,32.9752398,0
-117.225,32.956,-117.2583568,32.9752398,0
-117.17,33.144,-117.2583568,32.9752398,0
-117.197,32.824,-117.2583568,32.9752398,0
-117.248,33.198,-117.2583568,32.9752398,0
-117.262,33.095,-117.2583568,32.9752398,0
-117.071,32.575,-117.2583568,32.9752398,0
-111.863,40.76,-117.2583568,32.9752398,0
-117.098,33.16,-117.2583568,32.9752398,0
-117.185,33.119,-117.2583568,32.9752398,0
-117.124,32.762,-117.2583568,32.9752398,0
-118.246,33.95,-117.2583568,32.9752398,0
121.532,25.048,-117.2583568,32.9752398,0
-117.339,33.976,-117.2583568,32.9752398,0
-117.113,33.09,-117.2583568,32.9752398,0
-117.056,32.608,-117.2583568,32.9752398,0
-115.264,36.197,-117.2583568,32.9752398,0
-122.296,37.425,-122.4959313,37.7480695,0
-122.045,37.318,-122.4959313,37.7480695,0
-122.15,37.444,-122.4959313,37.7480695,0
-122.2,37.456,-122.4959313,37.7480695,0
-122.402,37.6,-122.4959313,37.7480695,0
-121.895,37.339,-122.4959313,37.7480695,0
-122.571,38.116,-122.4959313,37.7480695,0
-122.3,37.539,-122.4959313,37.7480695,0
32.684,40.046,-122.4959313,37.7480695,0
-155.98,19.653,-122.4959313,37.7480695,0
-122.475,37.721,-122.4959313,37.7480695,0
-122.265,37.771,-122.4959313,37.7480695,0
-122.419,37.792,-122.4959313,37.7480695,0
-122.126,37.381,-122.4959313,37.7480695,0
-122.3,37.539,-122.4959313,37.7480695,0
-122.257,37.866,-122.4959313,37.7480695,0
-122.257,37.866,-122.4959313,37.7480695,0
-122.489,37.779,-122.4959313,37.7480695,0
-122.438,37.745,-122.4959313,37.7480695,0
-122.486,37.744,-122.4959313,37.7480695,0
-122.368,37.567,-122.4959313,37.7480695,0
-122.127,37.418,-122.4959313,37.7480695,0
-121.857,37.214,-122.4959313,37.7480695,0
-122.484,37.759,-122.4959313,37.7480695,0
-122.074,37.954,-122.4959313,37.7480695,0
-121.89,37.257,-122.4959313,37.7480695,0
-122.714,38.441,-122.4959313,37.7480695,0
5.478,51.441,-122.4959313,37.7480695,0
-122.078,37.389,-122.4959313,37.7480695,0
-122.441,37.719,-122.4959313,37.7480695,0
-122.088,37.386,-122.4959313,37.7480695,0
-122.0,37.307,-121.8800817,37.3352281,0
-122.084,37.386,-121.8800817,37.3352281,0
-122.127,37.418,-121.8800817,37.3352281,0
-121.887,37.348,-121.8800817,37.3352281,0
-122.293,37.517,-121.8800817,37.3352281,0
-121.926,36.543,-121.8800817,37.3352281,0
-121.894,37.296,-121.8800817,37.3352281,0
-93.167,44.804,-121.8800817,37.3352281,0
-122.088,37.386,-121.8800817,37.3352281,0
-122.045,37.318,-121.8800817,37.3352281,0
-121.929,37.518,-121.8800817,37.3352281,0
-121.894,37.296,-121.8800817,37.3352281,0
-122.023,37.271,-121.8800817,37.3352281,0
-121.791,37.33,-121.8800817,37.3352281,0
-121.954,37.28,-121.8800817,37.3352281,0
-121.793,36.622,-121.8800817,37.3352281,0
-122.436,37.786,-121.8800817,37.3352281,0
-122.368,37.567,-121.8800817,37.3352281,0
-122.368,37.567,-121.8800817,37.3352281,0
-121.826,37.283,-121.8800817,37.3352281,0
116.397,39.907,-121.8800817,37.3352281,0
-121.851,37.352,-121.8800817,37.3352281,0
-121.892,37.333,-121.8800817,37.3352281,0
-122.023,37.271,-121.8800817,37.3352281,0
-121.77,37.753,-121.8800817,37.3352281,0
-122.045,37.318,-121.8800817,37.3352281,0
-122.129,37.679,-121.8800817,37.3352281,0
-122.086,37.355,-121.8800817,37.3352281,0
-122.218,37.37,-121.8800817,37.3352281,0
-122.2,37.456,-121.8800817,37.3352281,0
-122.15,37.444,-121.8800817,37.3352281,0
-122.0,37.307,-121.8800817,37.3352281,0
-121.983,37.23,-121.8800817,37.3352281,0
-118.611,34.22,-119.2316244,34.2769754,0
-122.126,37.381,-119.2316244,34.2769754,0
-111.574,35.226,-119.2316244,34.2769754,0
-119.832,36.83,-119.2316244,34.2769754,0
-118.371,34.169,-119.2316244,34.2769754,0
-118.936,34.177,-119.2316244,34.2769754,0
-119.358,34.331,-119.2316244,34.2769754,0
-117.854,33.874,-119.2316244,34.2769754,0
-119.046,34.231,-119.2316244,34.2769754,0
-120.496,34.953,-119.2316244,34.2769754,0
-120.071,34.624,-119.2316244,34.2769754,0
-118.386,34.187,-119.2316244,34.2769754,0
-119.708,34.42,-119.2316244,34.2769754,0
-117.855,34.018,-119.2316244,34.2769754,0
-118.369,34.747,-119.2316244,34.2769754,0
-119.071,34.355,-119.2316244,34.2769754,0
-119.182,34.235,-119.2316244,34.2769754,0
-118.918,34.399,-119.2316244,34.2769754,0
30.651,37.047,-119.2316244,34.2769754,0
-118.987,34.222,-119.2316244,34.2769754,0
-119.182,34.235,-119.2316244,34.2769754,0
-119.172,34.169,-119.2316244,34.2769754,0
-119.172,34.169,-119.2316244,34.2769754,0
-119.175,34.214,-119.2316244,34.2769754,0
-105.285,40.017,-104.9618965,39.6766174,0
-105.146,39.979,-104.9618965,39.6766174,0
-107.925,39.245,-104.9618965,39.6766174,0
-104.952,39.733,-104.9618965,39.6766174,0
-104.911,39.688,-104.9618965,39.6766174,0
-104.583,39.762,-104.9618965,39.6766174,0
-105.481,39.97,-104.9618965,39.6766174,0
-105.101,40.178,-104.9618965,39.6766174,0
-110.267,31.537,-104.9618965,39.6766174,0
-105.09,40.426,-104.9618965,39.6766174,0
-105.253,39.981,-104.9618965,39.6766174,0
-105.317,39.52,-104.9618965,39.6766174,0
-104.985,39.739,-104.9618965,39.6766174,0
-105.101,40.178,-104.9618965,39.6766174,0
-96.933,35.387,-104.9618965,39.6766174,0
-104.906,38.855,-104.9618965,39.6766174,0
-105.096,39.998,-104.9618965,39.6766174,0
-97.642,38.824,-104.9618965,39.6766174,0
-104.787,39.626,-104.9618965,39.6766174,0
-110.739,43.453,-104.9618965,39.6766174,0
-104.899,39.643,-104.9618965,39.6766174,0
-104.739,39.601,-104.9618965,39.6766174,0
-104.838,39.699,-104.9618965,39.6766174,0
-104.854,39.101,-104.9618965,39.6766174,0
-105.011,39.54,-104.9618965,39.6766174,0
-103.628,40.26,-104.9618965,39.6766174,0
-105.055,40.538,-104.9618965,39.6766174,0
-105.011,39.54,-104.9618965,39.6766174,0
-104.88,39.612,-104.9618965,39.6766174,0
-103.205,44.142,-104.9618965,39.6766174,0
-108.436,39.031,-104.9618965,39.6766174,0
-104.961,39.641,-104.9618965,39.6766174,0
-104.465,42.766,-104.9618965,39.6766174,0
-105.015,39.962,-104.9618965,39.6766174,0
-72.344,41.566,-72.7010105,41.7652258,1
-72.565,41.989,-72.7010105,41.7652258,1
-72.558,41.834,-72.7010105,41.7652258,1
-72.695,41.75,-72.7010105,41.7652258,1
-72.697,41.315,-72.7010105,41.7652258,1
-72.573,41.707,-72.7010105,41.7652258,1
-73.458,41.732,-72.7010105,41.7652258,1
-72.799,41.96,-72.7010105,41.7652258,1
-72.753,41.756,-72.7010105,41.7652258,1
-72.248,41.8,-72.7010105,41.7652258,1
-72.964,41.27,-72.7010105,41.7652258,1
-71.897,41.919,-72.7010105,41.7652258,1
-73.406,41.132,-72.7010105,41.7652258,1
-72.529,41.797,-72.7010105,41.7652258,1
-72.983,41.597,-73.0265679,41.604199,1
-73.398,41.465,-73.0265679,41.604199,1
-72.865,41.791,-73.0265679,41.604199,1
-72.696,41.791,-73.0265679,41.604199,1
-73.224,41.477,-73.0265679,41.604199,1
-72.8,41.533,-73.0265679,41.604199,1
-73.129,41.305,-73.0265679,41.604199,1
-72.309,41.335,-73.0265679,41.604199,1
-73.122,41.606,-73.0265679,41.604199,1
-73.208,41.552,-73.0265679,41.604199,1
-72.93,41.682,-73.0265679,41.604199,1
-72.665,41.557,-73.0265679,41.604199,1
-72.631,42.322,-73.0265679,41.604199,1
-72.665,41.557,-73.0265679,41.604199,1
-73.386,41.271,-73.0265679,41.604199,1
-72.937,41.296,-73.0265679,41.604199,1
-72.801,41.876,-73.0265679,41.604199,1
-72.449,41.377,-73.0265679,41.604199,1
-73.204,42.709,-73.0265679,41.604199,1
-73.363,41.956,-73.0265679,41.604199,1
-72.623,42.07,-73.0265679,41.604199,1
-72.908,41.505,-73.0265679,41.604199,1
-81.424,28.305,-81.1973669,28.607225,0
-80.27,26.212,-81.1973669,28.607225,0
-45.887,-23.179,-81.1973669,28.607225,0
-80.139,26.823,-81.1973669,28.607225,0
-81.679,28.855,-81.1973669,28.607225,0
-80.787,28.391,-81.1973669,28.607225,0
-81.742,26.153,-81.1973669,28.607225,0
-50.993,-29.942,-81.1973669,28.607225,0
-80.064,26.783,-81.1973669,28.607225,0
-80.213,27.14,-81.1973669,28.607225,0
-81.329,28.5,-81.1973669,28.607225,0
-80.843,28.627,-81.1973669,28.607225,0
-80.996,29.138,-81.1973669,28.607225,0
-80.732,28.313,-81.1973669,28.607225,0
-80.322,26.11,-81.1973669,28.607225,0
-81.757,28.552,-81.1973669,28.607225,0
-82.503,28.009,-81.1973669,28.607225,0
-82.098,29.106,-81.1973669,28.607225,0
-80.362,25.699,-81.1973669,28.607225,0
-82.64,30.16,-81.1973669,28.607225,0
-82.477,27.287,-81.1973669,28.607225,0
-80.409,25.992,-81.1973669,28.607225,0
-80.62,28.069,-81.1973669,28.607225,0
-80.175,26.384,-81.1973669,28.607225,0
-81.304,28.597,-81.1973669,28.607225,0
-81.731,28.626,-81.1973669,28.607225,0
-82.325,29.649,-81.1973669,28.607225,0
-80.189,26.022,-81.1973669,28.607225,0
-82.341,29.102,-81.1973669,28.607225,0
-82.455,28.226,-81.1973669,28.607225,0
28.64,40.982,-81.1973669,28.607225,0
-82.387,29.613,-81.1973669,28.607225,0
-82.455,28.226,-81.1973669,28.607225,0
-82.405,27.995,-81.1973669,28.607225,0
-80.135,26.454,-81.1973669,28.607225,0
-80.297,25.668,-81.1973669,28.607225,0
