Team,EngInsp,IndDsgn,Quality,Creativity,EngExlnce,Auton
frc810,1,0,0,2,1,0
frc811,2,0,0,3,1,0
frc812,7,0,0,0,0,0
frc814,0,0,0,0,0,0
frc815,1,0,0,1,0,0
frc816,0,0,1,0,0,0
frc818,0,0,1,0,0,0
frc820,0,0,0,0,0,0
frc822,0,0,0,0,0,0
frc824,0,0,0,0,0,0
frc825,0,0,0,0,0,0
frc827,0,0,0,0,0,0
frc829,0,3,1,0,3,0
frc830,3,0,1,1,0,0
frc831,0,0,0,0,0,0
frc832,0,0,1,0,1,0
frc833,0,0,0,0,0,0
frc834,0,0,4,1,1,0
frc835,0,0,1,0,1,0
frc836,3,1,3,2,3,0
frc837,0,0,0,0,0,0
frc839,0,0,1,0,1,0
frc840,1,0,0,0,0,0
frc841,0,0,0,0,0,0
frc842,3,3,1,1,2,0
frc843,0,1,0,0,0,0
frc845,0,1,1,0,0,0
frc846,2,0,3,1,2,2
frc847,0,0,0,0,0,0
frc848,0,0,0,0,0,0
frc849,0,0,0,0,0,0
frc850,0,0,0,0,0,0
frc851,0,0,0,0,0,0
frc852,0,3,1,0,0,0
frc853,0,0,0,0,0,0
frc854,0,0,2,1,0,0
frc857,1,2,0,3,2,0
frc858,0,0,0,2,0,0
frc859,0,0,0,0,0,0
frc861,0,0,0,0,0,0
frc862,4,0,1,0,1,1
frc863,0,0,0,0,0,0
frc865,1,0,1,1,0,0
frc866,0,0,0,0,0,0
frc867,0,0,0,0,0,0
frc868,2,5,2,6,4,0
frc869,0,3,4,2,1,0
frc870,1,2,1,3,1,0
frc871,0,0,1,0,0,0
frc872,0,0,0,0,0,0
frc873,0,0,0,0,0,0
frc874,0,0,0,0,0,0
frc875,0,0,0,1,0,0
frc876,1,2,0,1,0,0
frc877,0,0,0,1,0,0
frc878,0,0,0,2,0,0
frc879,0,0,0,0,0,0
frc880,0,0,0,0,0,0
frc881,0,0,0,0,0,0
frc883,0,0,0,0,0,0
frc884,1,0,0,0,0,0
frc885,0,1,0,0,0,0
frc886,0,0,0,0,0,0
frc887,0,0,0,0,0,0
frc888,1,0,0,0,0,0
frc889,0,0,0,0,0,0
frc891,0,0,0,0,0,0
frc892,0,0,0,0,0,0
frc894,0,0,0,1,1,0
frc896,0,0,0,0,0,0
frc897,0,0,0,0,0,0
frc898,0,0,0,0,0,0
frc899,0,0,0,0,0,0
frc900,0,1,0,3,5,0
frc901,0,0,0,0,0,0
frc902,0,0,0,0,0,0
frc903,2,0,1,0,0,0
frc904,1,1,0,2,0,0
frc905,0,0,0,0,0,0
frc906,0,0,0,0,0,0
frc907,0,0,1,1,0,0
frc908,0,0,0,0,0,0
frc909,0,1,0,0,0,0
frc910,2,1,3,5,2,0
frc912,0,0,0,0,0,0
frc913,0,0,0,0,0,0
frc914,0,0,0,0,0,0
frc915,0,0,0,0,0,0
frc917,0,0,0,0,0,0
frc918,0,0,0,0,0,0
frc919,0,0,0,0,0,0
frc920,0,0,0,0,0,0
frc922,2,0,0,0,0,0
frc925,0,0,0,0,0,0
frc926,0,0,0,0,0,0
frc927,0,0,0,0,0,0
frc928,0,0,0,0,0,0
frc930,0,1,2,0,1,0
frc931,2,0,1,1,1,0
frc932,4,0,0,2,0,0
frc933,1,0,0,0,0,0
frc934,0,0,0,0,0,0
frc935,0,2,5,0,3,0
frc936,0,0,0,0,0,0
frc937,0,0,0,0,0,0
frc938,0,0,0,0,0,0
frc939,0,0,0,0,0,0
frc940,0,0,0,1,0,0
frc941,0,0,0,0,0,0
frc942,0,0,0,0,0,0
frc943,0,0,0,0,0,0
frc945,0,2,0,0,0,0
frc946,0,0,0,0,0,0
frc947,0,0,0,0,0,0
frc948,1,1,1,2,1,0
frc949,0,1,0,0,0,0
frc950,0,0,0,0,0,0
frc953,0,1,0,0,0,0
frc954,0,0,0,0,0,0
frc955,0,3,2,0,0,0
frc956,0,0,0,3,0,0
frc957,0,0,2,0,0,0
frc959,0,0,0,0,0,0
frc960,0,0,0,0,0,0
frc961,0,0,0,0,0,0
frc962,0,0,0,0,0,0
frc963,0,0,0,0,0,0
frc964,0,0,0,0,0,0
frc966,0,0,0,0,0,0
frc967,0,2,2,1,1,0
frc968,1,3,4,1,0,0
frc969,0,0,0,0,0,0
frc970,0,0,0,0,0,0
frc971,0,2,0,3,4,0
frc972,0,1,0,0,0,0
frc973,0,3,6,1,1,2
frc974,0,0,0,0,0,0
frc975,0,0,1,0,0,0
frc976,0,0,0,0,0,0
frc977,0,0,1,0,1,0
frc979,0,0,0,0,0,0
frc980,1,1,2,3,0,0
frc981,0,1,0,0,0,0
frc982,0,0,0,0,0,0
frc984,0,0,0,0,0,0
frc987,1,4,1,1,2,1
frc988,0,0,0,0,0,0
frc989,0,0,0,0,0,0
frc990,0,0,0,0,0,0
frc991,0,0,0,0,0,0
frc992,0,0,0,1,0,0
frc995,0,0,0,0,0,0
frc996,0,0,0,0,0,0
frc997,0,0,0,2,0,0
frc998,0,0,0,0,0,0
frc999,0,1,0,0,0,0
frc1000,0,0,0,0,0,0
frc1001,0,0,0,0,0,0
frc1002,6,0,0,0,0,0
frc1005,0,0,0,0,0,0
frc1006,0,0,0,0,0,0
frc1007,0,0,0,0,0,0
frc1008,0,0,0,0,0,0
frc1009,0,0,0,0,0,0
frc1010,0,0,0,0,0,0
frc1011,5,0,2,0,1,0
frc1013,0,0,0,0,0,0
frc1014,2,0,0,0,0,0
frc1015,0,0,0,0,0,0
frc1016,0,0,0,0,0,0
frc1017,0,0,0,0,0,0
frc1018,2,2,0,1,1,0
frc1019,0,0,0,0,0,0
frc1020,0,0,0,0,0,0
frc1022,0,0,0,0,0,0
frc1023,7,2,3,0,2,0
frc1024,0,4,9,1,0,0
frc1025,1,3,3,2,0,0
frc1026,0,0,0,1,0,0
frc1027,0,0,0,0,0,0
frc1028,0,0,0,0,0,0
frc1029,0,0,0,0,0,0
frc1030,0,0,0,0,0,0
frc1031,0,0,0,0,0,0
frc1033,0,0,0,0,0,0
frc1034,0,0,0,0,0,0
frc1035,0,0,0,0,0,0
frc1036,0,0,0,0,0,0
frc1037,0,0,0,0,0,0
frc1038,2,3,1,0,1,0
frc1039,0,0,0,0,0,0
frc1040,0,0,0,0,0,0
frc1041,0,0,0,0,0,0
frc1042,0,0,0,0,0,0
frc1043,0,0,0,0,0,0
frc1045,0,0,0,0,0,0
frc1046,0,0,0,0,0,0
frc1047,0,0,0,0,0,0
frc1048,0,0,0,0,0,0
frc1049,0,0,0,0,0,0
frc1051,0,0,0,0,0,0
frc1052,0,0,0,0,0,0
frc1053,0,0,0,0,0,0
frc1054,0,0,0,0,0,0
frc1055,0,0,0,0,0,0
frc1056,1,1,0,1,0,0
frc1057,0,0,0,0,0,0
frc1058,1,0,1,4,3,0
frc1059,0,0,0,0,0,0
frc1060,0,0,0,0,0,0
frc1062,0,0,0,0,0,0
frc1063,0,0,0,0,0,0
frc1064,0,0,0,0,0,0
frc1065,0,1,7,1,0,0
frc1067,0,0,0,0,0,0
frc1068,0,0,0,0,0,0
frc1069,0,0,0,0,0,0
frc1070,0,0,0,0,0,0
frc1071,0,0,0,0,1,0
frc1072,0,0,0,1,0,0
frc1073,0,2,2,0,1,0
frc1074,0,0,0,0,0,0
frc1075,0,0,0,0,0,0
frc1076,0,1,0,0,0,0
frc1077,0,0,0,0,0,0
frc1079,0,0,0,0,0,0
frc1080,0,1,2,0,0,0
frc1081,0,0,0,0,0,0
frc1082,0,0,0,0,0,0
frc1083,0,0,0,0,0,0
frc1084,0,0,0,0,0,0
frc1085,0,0,0,0,0,0
frc1086,1,2,1,1,1,0
frc1087,0,0,0,0,0,0
frc1088,0,0,1,0,0,0
frc1089,0,0,0,1,2,0
frc1090,0,0,0,0,0,0
frc1091,0,1,0,0,0,0
frc1092,0,0,0,0,0,0
frc1093,0,0,0,0,0,0
frc1094,0,0,0,3,1,0
frc1095,0,0,0,1,0,0
frc1096,0,0,0,0,0,0
frc1097,1,0,0,0,0,0
