3950,2
52.99,23.63,1538832807.7
52.98,23.59,1538832807.8
52.94,23.53,1538832807.9
52.92,23.51,1538832808.0
52.94,23.52,1538832808.1
52.93,23.55,1538832808.2
52.93,23.59,1538832808.3
52.96,23.61,1538832808.4
52.99,23.65,1538832808.5
53.03,23.70,1538832808.6
53.02,23.73,1538832808.7
53.05,23.74,1538832808.8
53.08,23.71,1538832808.9
53.07,23.67,1538832809.0
53.05,23.63,1538832809.1
53.04,23.57,1538832809.2
53.02,23.53,1538832809.3
52.99,23.54,1538832809.4
52.95,23.57,1538832809.5
52.92,23.57,1538832809.6
52.93,23.56,1538832809.7
52.94,23.60,1538832809.8
52.95,23.59,1538832809.9
52.94,23.58,1538832810.0
52.99,23.55,1538832810.1
53.01,23.57,1538832810.2
53.01,23.60,1538832810.3
53.00,23.56,1538832810.4
53.01,23.53,1538832810.5
53.02,23.49,1538832810.6
52.99,23.51,1538832810.7
52.98,23.51,1538832810.8
52.97,23.50,1538832810.9
52.99,23.52,1538832811.0
52.97,23.58,1538832811.1
52.97,23.63,1538832811.2
52.98,23.65,1538832811.3
52.97,23.65,1538832811.4
52.97,23.67,1538832811.5
52.96,23.67,1538832811.6
52.97,23.71,1538832811.7
52.95,23.70,1538832811.8
52.94,23.68,1538832811.9
52.95,23.67,1538832812.0
52.93,23.70,1538832812.1
52.92,23.67,1538832812.2
52.92,23.59,1538832812.3
52.93,23.56,1538832812.4
52.94,23.55,1538832812.5
52.93,23.52,1538832812.6
52.96,23.51,1538832812.7
52.93,23.55,1538832812.8
52.93,23.60,1538832812.9
52.91,23.63,1538832813.0
52.89,23.65,1538832813.1
52.87,23.65,1538832813.2
52.82,23.61,1538832813.3
52.80,23.63,1538832813.4
52.76,23.61,1538832813.5
52.75,23.59,1538832813.6
52.75,23.55,1538832813.7
52.77,23.57,1538832813.8
52.79,23.62,1538832813.9
52.83,23.63,1538832814.0
52.86,23.62,1538832814.1
52.86,23.65,1538832814.2
52.90,23.70,1538832814.3
52.94,23.72,1538832814.4
52.97,23.70,1538832814.5
52.97,23.72,1538832814.6
52.97,23.76,1538832814.7
53.02,23.76,1538832814.8
53.02,23.76,1538832814.9
52.98,23.79,1538832815.0
52.99,23.80,1538832815.1
53.00,23.77,1538832815.2
53.00,23.74,1538832815.3
52.97,23.69,1538832815.4
52.96,23.67,1538832815.5
52.97,23.66,1538832815.6
52.97,23.68,1538832815.7
52.97,23.64,1538832815.8
52.99,23.63,1538832815.9
53.02,23.65,1538832816.0
53.01,23.63,1538832816.1
52.99,23.62,1538832816.2
52.96,23.58,1538832816.3
52.91,23.58,1538832816.4
52.85,23.56,1538832816.5
52.80,23.54,1538832816.6
52.78,23.52,1538832816.7
52.76,23.49,1538832816.8
52.75,23.47,1538832816.9
52.77,23.48,1538832817.0
52.78,23.49,1538832817.1
52.80,23.51,1538832817.2
52.81,23.54,1538832817.3
52.83,23.59,1538832817.4
52.85,23.59,1538832817.5
52.87,23.60,1538832817.6
52.88,23.60,1538832817.7
52.90,23.62,1538832817.8
52.91,23.63,1538832817.9
52.91,23.59,1538832818.0
52.91,23.61,1538832818.1
52.92,23.64,1538832818.2
52.90,23.67,1538832818.3
52.89,23.64,1538832818.4
52.86,23.62,1538832818.5
52.84,23.63,1538832818.6
52.84,23.60,1538832818.7
52.84,23.56,1538832818.8
52.86,23.53,1538832818.9
52.86,23.54,1538832819.0
52.91,23.57,1538832819.1
52.95,23.56,1538832819.2
52.98,23.59,1538832819.3
52.98,23.64,1538832819.4
52.99,23.67,1538832819.5
52.97,23.65,1538832819.6
52.95,23.63,1538832819.7
52.92,23.65,1538832819.8
52.89,23.65,1538832819.9
52.89,23.60,1538832820.0
52.88,23.56,1538832820.1
52.87,23.58,1538832820.2
52.84,23.56,1538832820.3
52.83,23.52,1538832820.4
52.88,23.55,1538832820.5
52.91,23.61,1538832820.6
52.90,23.68,1538832820.7
52.92,23.67,1538832820.8
52.95,23.65,1538832820.9
52.97,23.63,1538832821.0
52.94,23.56,1538832821.1
52.91,23.49,1538832821.2
52.90,23.43,1538832821.3
52.90,23.44,1538832821.4
52.92,23.47,1538832821.5
52.96,23.48,1538832821.6
53.00,23.47,1538832821.7
53.04,23.46,1538832821.8
53.09,23.44,1538832821.9
53.12,23.46,1538832822.0
53.11,23.49,1538832822.1
53.08,23.54,1538832822.2
53.06,23.62,1538832822.3
53.05,23.69,1538832822.4
53.02,23.75,1538832822.5
52.98,23.75,1538832822.6
52.96,23.73,1538832822.7
52.98,23.71,1538832822.8
52.98,23.64,1538832822.9
52.96,23.63,1538832823.0
52.97,23.63,1538832823.1
52.97,23.64,1538832823.2
52.98,23.65,1538832823.3
52.98,23.64,1538832823.4
52.97,23.63,1538832823.5
52.96,23.57,1538832823.6
52.94,23.53,1538832823.7
52.94,23.46,1538832823.8
52.94,23.42,1538832823.9
52.91,23.43,1538832824.0
52.86,23.48,1538832824.1
52.82,23.51,1538832824.2
52.81,23.49,1538832824.3
52.80,23.52,1538832824.4
52.78,23.56,1538832824.5
52.79,23.58,1538832824.6
52.85,23.59,1538832824.7
52.92,23.59,1538832824.8
52.98,23.60,1538832824.9
53.00,23.64,1538832825.0
53.00,23.65,1538832825.1
52.99,23.61,1538832825.2
52.96,23.63,1538832825.3
52.90,23.66,1538832825.4
52.83,23.67,1538832825.5
52.79,23.65,1538832825.6
52.77,23.65,1538832825.7
52.78,23.66,1538832825.8
52.78,23.64,1538832825.9
52.78,23.62,1538832826.0
52.82,23.66,1538832826.1
52.88,23.68,1538832826.2
52.87,23.67,1538832826.3
52.89,23.71,1538832826.4
52.92,23.71,1538832826.5
52.94,23.68,1538832826.6
52.94,23.63,1538832826.7
52.90,23.59,1538832826.8
52.92,23.57,1538832826.9
52.92,23.54,1538832827.0
52.92,23.50,1538832827.1
52.95,23.48,1538832827.2
52.97,23.48,1538832827.3
53.02,23.50,1538832827.4
53.03,23.56,1538832827.5
53.06,23.59,1538832827.6
53.06,23.60,1538832827.7
53.07,23.61,1538832827.8
53.08,23.61,1538832827.9
53.06,23.64,1538832828.0
53.08,23.59,1538832828.1
53.06,23.58,1538832828.2
53.06,23.57,1538832828.3
53.04,23.60,1538832828.4
53.01,23.62,1538832828.5
52.99,23.59,1538832828.6
52.98,23.55,1538832828.7
52.98,23.57,1538832828.8
52.99,23.60,1538832828.9
52.99,23.60,1538832829.0
53.01,23.61,1538832829.1
53.03,23.62,1538832829.2
53.00,23.61,1538832829.3
52.97,23.61,1538832829.4
52.92,23.62,1538832829.5
52.85,23.61,1538832829.6
52.78,23.60,1538832829.7
52.75,23.59,1538832829.8
52.73,23.62,1538832829.9
52.72,23.56,1538832830.0
52.73,23.53,1538832830.1
52.75,23.53,1538832830.2
52.75,23.52,1538832830.3
52.73,23.54,1538832830.4
52.72,23.55,1538832830.5
52.71,23.54,1538832830.6
52.71,23.50,1538832830.7
52.74,23.43,1538832830.8
52.78,23.40,1538832830.9
52.83,23.39,1538832831.0
52.88,23.38,1538832831.1
52.92,23.41,1538832831.2
52.93,23.48,1538832831.3
52.91,23.53,1538832831.4
52.87,23.55,1538832831.5
52.82,23.54,1538832831.6
52.81,23.53,1538832831.7
52.79,23.55,1538832831.8
52.81,23.52,1538832831.9
52.86,23.52,1538832832.0
52.91,23.54,1538832832.1
