Team #,Region,Age
3637,MAR,8
3641,FIM,8
3646,Turkey,8
3647,California,8
3648,Colorado,8
3650,CHS,8
3651,South Carolina,8
3653,Florida,8
3654,NE,8
3655,FIM,8
3656,FIM,8
3658,FIM,8
3660,Oklahoma,8
3661,NC,8
3663,PNW,8
3667,FIM,8
3668,FIM,8
3669,California,8
3673,PNW,8
3674,PNW,8
3676,Texas,8
3679,Texas,8
3680,NC,8
3683,ONT,8
3684,PNW,8
3688,FIM,8
3691,Minnesota,8
3692,Wisconsin,8
3693,PNW,8
3694,PCH,8
3695,Illinois,8
3704,California,8
3707,FIM,8
3711,PNW,8
3712,PNW,8
3714,CHS,8
3719,NE,8
3721,Hawaii,8
3723,Minnesota,8
3728,Texas,8
3729,Colorado,8
3734,Illinois,8
3735,Texas,8
3737,NC,8
3739,ONT,8
3740,Minnesota,8
3743,Texas,8
3745,Minnesota,8
3748,CHS,8
3749,California,8
3750,Minnesota,8
3751,Minnesota,8
3753,Louisiana,8
3754,Minnesota,8
3755,Minnesota,8
3756,ONT,8
3759,California,8
3760,New York,8
3767,FIM,8
3770,FIM,8
3773,FIM,8
3777,Ohio,8
3785,Arizona,8
3786,PNW,8
3792,Missouri,8
3793,CHS,8
3794,Mexico,8
3796,NC,8
3799,New York,8
3800,Hawaii,8
3802,Texas,8
3807,Colorado,8
3812,PNW,8
3814,Kentucky,8
3815,PCH,8
3821,Kentucky,8
3822,NC,8
3824,Tennessee,8
3826,PNW,8
3834,Texas,8
3835,ISR,8
3838,New York,8
3839,Minnesota,8
3840,Minnesota,8
3843,Kentucky,8
3844,Kentucky,8
3845,NC,8
3847,Texas,8
3848,Minnesota,8
3851,California,8
3853,Arizona,8
3859,California,8
3863,California,8
3865,IN,8
3871,Minnesota,8
3875,FIM,8
3876,PNW,8
3878,Hawaii,8
3880,Hawaii,8
3881,Hawaii,8
3882,Hawaii,8
3883,Minnesota,8
3925,California,7
3926,Minnesota,7
3928,Iowa,7
3929,MAR,7
3930,NE,7
3931,Oklahoma,7
3932,Florida,7
3933,Mexico,7
3936,IN,7
3937,Arkansas,7
3939,CHS,7
3940,IN,7
3941,CHS,7
3944,Arizona,7
3946,Louisiana,7
3947,IN,7
3950,New York,7
3951,New York,7
3952,California,7
3953,California,7
3954,Pennsylvania,7
3955,Pennsylvania,7
3957,Pennsylvania,7
3958,NE,7
3959,Alabama,7
3965,California,7
3966,Tennessee,7
3970,California,7
3974,MAR,7
3975,Canada,7
3976,South Carolina,7
3981,Canada,7
