FIPS,Duration,Density
26011,40874.9,4
26007,45887.2,5
26037,37594.7,5
26067,38502.2,3
51031,21866.7,1
53045,159356.2,1
45039,36728.5,1
51107,12533.8,1
27055,60110.5,2
18093,41193.7,2
48085,81771.4,6
39139,26679.9,2
34011,5448.7,1
5083,73165.2,1
5007,68578.6,3
32029,147623.7,2
42095,4833.6,1
23027,30963.6,3
37093,30478.8,1
51730,18099,1
26129,40948.1,2
26089,48653.2,2
19059,70583.8,1
13077,48496.8,1
55015,53470.7,2
55109,63732.1,1
35035,115083.5,2
26117,41070,4
13073,42087.9,1
23023,26450.1,1
27073,75800.9,2
56027,98412.3,1
27069,86190.8,1
26045,37625.2,5
27017,71049.2,5
26097,50345.5,1
27115,69419.1,1
5063,64050.5,3
12131,63436.3,1
51775,22671.6,1
37161,35037.7,1
6097,162688,3
5001,65204.8,1
29109,63344.1,1
42007,19765.4,1
12109,51610.3,2
37069,24350.4,1
48213,82626,1
45085,35431.9,1
35025,103713.9,1
55017,62186.8,1
13273,54940,1
25005,18352.7,2
17091,44019.6,1
13037,56331.5,1
6047,162736.6,4
37021,35740.1,1
48479,108110.3,2
13313,42767.4,2
55123,58969,2
31055,68149.5,2
37101,25751.9,2
16057,143490.4,1
48039,89616.8,1
40087,79419.5,1
17037,46355.7,1
19157,57131.7,1
36079,10476.7,3
18109,38161,1
36003,18605,2
51143,23762,1
51111,21651.1,1
48061,106701.6,1
20161,70562.7,1
26053,66391.3,1
27033,71457.5,1
27071,79571,1
27095,70006.1,1
37085,28179.2,1
26085,44712.9,4
51183,19511.3,1
39133,22458.4,1
27167,76596.9,1
26113,43687.1,1
28133,65372.4,1
26143,41927.6,3
26151,37301.5,5
26023,35169.5,3
26029,56268.7,1
22047,73969.2,1
26039,43371.3,1
26019,47583.9,1
4003,127682.8,1
26127,44514.4,1
5119,65561.1,1
13175,48092.4,1
12129,60153.7,1
23007,34446.1,1
21157,49373.3,1
19075,59715.4,1
45089,36170.1,3
30019,106274.2,2
39051,31351.2,1
12073,57946.1,1
5057,71478.7,1
51007,18954,1
51049,19569.8,1
37141,29601.5,3
37065,24283.4,1
27049,64334.4,2
47163,31075,1
12111,61547.9,1
17175,50720.2,1
37185,22844.7,1
36031,20742,2
47059,33301.3,2
48259,99213.2,1
51119,17563.9,1
19055,56249.5,1
9015,16102.6,1
13057,46931.9,1
55125,64049.8,1
16083,129716.9,1
31081,74038.4,1
48481,91398,1
19041,68943.5,1
30031,118764.8,1
36087,7997.4,4
48377,114213.7,3
19139,53016,1
41059,146038.6,1
41053,161838.7,1
36027,11477.4,1
40133,77035.6,2
19003,65642.3,1
13177,53915.4,1
4017,121088,1
36115,17982.8,1
36099,16573,1
18173,43540.8,1
37019,32441.9,1
26051,40775.3,2
19011,56864.4,1
20037,68423.7,1
49017,125233.7,1
39171,32771.2,1
26013,61915.2,1
53073,163893.5,3
37137,30821.2,1
26131,65976.7,2
55055,51062.4,1
4001,117324.9,1
5091,73855.2,1
55051,66578.7,1
55075,58037.1,1
37035,32084.9,1
5045,67728.7,3
26035,41626.9,2
55101,48161,2
48291,86993.8,1
17195,50358.6,1
6107,156386.5,1
28059,66580.3,1
48127,106338.7,1
13213,43613.6,1
49015,119563,1
37155,30040.9,1
55107,64391.1,1
12071,67931.6,2
13151,47849,1
48181,82368.2,1
51185,29492.9,1
40047,77147.6,1
29161,56152,1
41027,155668.9,1
39045,26808.1,1
5109,71804.2,1
47149,46120.6,1
5019,69618.1,1
51630,13561.9,1
6069,163740.6,1
29015,61818.1,1
37023,33384,1
19051,59068,1
37071,33909.3,1
4019,135942.8,1
37113,39792.1,1
26083,66373.2,1
6055,158547.8,1
22125,72430.1,1
13063,47119.1,1
37099,38964.7,1
48265,101150.8,1
39057,29742.7,1
19001,63447.6,1
45083,36931.2,1
35053,110839.8,1
26043,58891.6,3
55121,60106.2,1
34001,4336.7,1
36075,16283.2,1
37165,31084.1,1
4025,131593.8,1
13139,44305.5,1
20103,64955.7,1
1051,54596.8,1
1081,51966.9,1
26119,44770.3,2
28045,67644.1,1
5047,72034.5,1
29099,52055.5,1
48425,87570.9,1
48091,98100.8,1
19111,55681.1,1
26105,46128.4,1
53009,163978.6,1
1077,53470.1,2
18181,41250.3,1
33019,21205.7,1
30091,102957.8,1
36009,21841.5,1
29133,53711.7,1
27153,73205.2,1
5069,66600.2,1
35005,103777.7,1
37079,26388.3,1
19021,67465.2,1
6065,154944.1,1
28063,68091.9,1
51181,20131.7,1
